1_est 2_est 3_est 4_est 1_ref 2_ref 3_ref 4_ref
1.789 -10.777 -10.167 1.309 1.313 -11.203 -10.937 1.047
1.440 -10.996 -10.167 1.178 1.206 -11.330 -10.880 0.757
1.222 -10.646 -10.472 1.178 1.108 -11.240 -11.004 0.872
1.309 -10.865 -10.559 1.047 1.166 -11.191 -11.054 1.028
0.960 -11.257 -10.690 0.785 1.231 -11.256 -10.989 0.964
0.916 -11.170 -11.301 0.873 1.256 -11.210 -10.998 1.044
0.873 -11.214 -11.476 1.091 1.332 -11.155 -10.995 1.171
1.047 -11.606 -11.650 0.916 1.406 -11.151 -10.925 1.180
1.004 -11.563 -11.519 0.960 1.431 -11.142 -10.878 1.166
1.309 -11.432 -11.388 1.309 1.378 -11.174 -10.821 1.026
1.440 -11.606 -10.865 1.396 1.418 -10.982 -10.938 1.375
1.614 -11.083 -10.821 1.134 1.589 -10.999 -10.885 1.475
1.484 -10.734 -10.690 1.178 1.664 -11.085 -10.824 1.403
1.789 -10.821 -11.126 1.571 1.688 -11.030 -10.855 1.513
2.007 -11.083 -11.694 1.571 1.771 -10.971 -10.836 1.636
1.745 -11.257 -12.261 1.222 1.861 -10.959 -10.753 1.656
2.007 -11.606 -12.479 1.527 1.880 -10.930 -10.673 1.623
2.269 -11.781 -12.741 2.051 1.897 -10.802 -10.640 1.735
2.007 -11.519 -12.479 1.658 1.964 -10.757 -10.558 1.765
1.833 -11.345 -12.174 1.484 1.988 -10.758 -10.480 1.710
2.182 -11.257 -11.912 2.182 1.956 -10.713 -10.458 1.700
2.269 -11.345 -11.606 2.356 1.892 -10.740 -10.401 1.553
1.920 -11.432 -10.908 1.745 1.815 -10.730 -10.406 1.491
2.007 -11.432 -10.690 1.920 1.730 -10.742 -10.405 1.392
2.138 -11.345 -10.908 2.182 1.660 -10.694 -10.436 1.401
1.745 -11.257 -10.777 1.658 1.572 -10.808 -10.364 1.128
1.527 -11.126 -10.516 1.222 1.438 -10.785 -10.426 1.079
1.876 -10.996 -10.952 1.571 1.332 -10.789 -10.445 0.988
1.658 -10.908 -11.170 1.396 1.276 -10.748 -10.485 1.013
1.309 -10.908 -10.734 1.047 1.191 -10.877 -10.415 0.730
1.571 -10.952 -10.690 1.134 0.983 -10.916 -10.435 0.502
1.527 -10.821 -10.996 1.309 0.793 -10.887 -10.497 0.403
1.004 -10.821 -10.734 0.785 0.724 -10.844 -10.574 0.454
0.960 -11.083 -10.297 0.698 0.683 -10.910 -10.560 0.334
1.004 -10.996 -10.428 0.698 0.544 -11.000 -10.529 0.073
0.611 -10.777 -10.516 0.567 0.272 -11.117 -10.473 -0.373
0.524 -10.908 -10.167 0.262 0.075 -10.967 -10.689 -0.203
0.611 -11.170 -10.297 0.349 -0.247 -11.304 -10.357 -1.193
0.262 -11.170 -10.690 0.000 -0.970 -11.311 -10.227 -2.055
0.087 -10.908 -10.734 -0.087 -1.808 -11.219 -10.070 -2.957
-0.087 -11.170 -10.385 -0.698 -2.314 -10.812 -10.505 -2.621
-0.916 -11.650 -10.341 -1.920 -2.614 -10.974 -10.057 -3.530
-1.833 -11.257 -10.297 -2.836 -3.161 -10.795 -9.939 -4.016
-2.138 -10.559 -10.516 -2.531 -3.662 -10.621 -9.829 -4.453
-2.531 -10.908 -10.254 -3.185 -3.933 -10.394 -10.067 -4.260
-3.360 -11.214 -9.861 -4.494 -4.071 -10.451 -9.741 -4.781
